inventory_id,film_id,store_id
1,1,1
2,1,1
3,1,1
4,1,1
5,1,2
6,1,2
7,1,2
8,1,2
9,2,2
10,2,2
11,2,2
12,3,2
13,3,2
14,3,2
15,3,2
16,4,1
17,4,1
18,4,1
19,4,1
20,4,2
21,4,2
22,4,2
23,5,2
24,5,2
25,5,2
26,6,1
27,6,1
28,6,1
29,6,2
30,6,2
31,6,2
32,7,1
33,7,1
34,7,2
35,7,2
36,7,2
37,8,2
38,8,2
39,8,2
40,8,2
41,9,1
42,9,1
43,9,1
44,9,2
45,9,2
46,10,1
47,10,1
48,10,1
49,10,1
50,10,2
51,10,2
52,10,2
53,11,1
54,11,1
55,11,1
56,11,1
57,11,2
58,11,2
59,11,2
60,12,1
61,12,1
62,12,1
63,12,2
64,12,2
65,12,2
66,12,2
67,13,2
68,13,2
69,13,2
70,13,2
71,15,1
72,15,1
73,15,2
74,15,2
75,15,2
76,15,2
77,16,1
78,16,1
79,16,2
80,16,2
81,17,1
82,17,1
83,17,1
84,17,2
85,17,2
86,17,2
87,18,1
88,18,1
89,18,1
90,18,2
91,18,2
92,18,2
93,19,1
94,19,1
95,19,1
96,19,1
97,19,2
98,19,2
99,20,1
100,20,1
101,20,1
102,21,1
103,21,1
104,21,2
105,21,2
106,21,2
107,21,2
108,22,1
109,22,1
110,22,1
111,22,1
112,22,2
113,22,2
114,22,2
115,23,1
116,23,1
117,23,1
118,23,2
119,23,2
120,24,1
121,24,1
122,24,1
123,24,1
124,25,1
125,25,1
126,25,1
127,25,1
128,25,2
129,25,2
130,26,1
131,26,1
132,26,2
133,26,2
134,26,2
135,27,1
136,27,1
137,27,1
138,27,1
139,28,1
140,28,1
141,28,1
142,29,1
143,29,1
144,30,1
145,30,1
146,31,1
147,31,1
148,31,1
149,31,1
150,31,2
151,31,2
152,31,2
153,31,2
154,32,2
155,32,2
156,34,2
157,34,2
158,34,2
159,34,2
160,35,1
161,35,1
162,35,1
163,35,1
164,35,2
165,35,2
166,35,2
167,37,1
168,37,1
169,37,1
170,37,1
171,37,2
172,37,2
173,37,2
174,39,1
175,39,1
176,39,1
177,39,2
178,39,2
179,39,2
180,39,2
181,40,2
182,40,2
183,40,2
184,40,2
185,42,2
186,42,2
187,42,2
188,42,2
189,43,1
190,43,1
191,43,1
192,43,2
193,43,2
194,43,2
195,43,2
196,44,1
197,44,1
198,44,2
199,44,2
200,44,2
201,45,1
202,45,1
203,45,1
204,45,1
205,45,2
206,45,2
207,46,2
208,46,2
209,46,2
210,47,2
211,47,2
212,48,1
213,48,1
214,48,2
215,48,2
216,49,1
217,49,1
218,49,1
219,49,2
220,49,2
221,49,2
222,50,1
223,50,1
224,50,1
225,50,2
226,50,2
227,51,1
228,51,1
229,51,2
230,51,2
231,51,2
232,51,2
233,52,2
234,52,2
235,53,1
236,53,1
237,54,1
238,54,1
239,54,1
240,54,2
241,54,2
242,55,1
243,55,1
244,55,1
245,55,1
246,55,2
247,55,2
248,56,1
249,56,1
250,56,1
251,56,2
252,56,2
253,57,1
254,57,1
255,57,1
256,57,1
257,57,2
258,57,2
259,57,2
260,58,2
261,58,2
262,58,2
263,58,2
264,59,1
265,59,1
266,59,1
267,59,2
268,59,2
269,60,1
270,60,1
271,60,1
272,61,1
273,61,1
274,61,1
275,61,1
276,61,2
277,61,2
278,62,2
279,62,2
280,63,1
281,63,1
282,63,2
283,63,2
284,64,2
285,64,2
286,64,2
287,65,2
288,65,2
289,65,2
290,65,2
291,66,1
292,66,1
293,66,1
294,67,1
295,67,1
296,67,2
297,67,2
298,67,2
299,67,2
300,68,1
301,68,1
302,68,2
303,68,2
304,69,1
305,69,1
306,69,1
307,69,1
308,69,2
309,69,2
310,69,2
311,69,2
312,70,1
313,70,1
314,70,2
315,70,2
316,71,2
317,71,2
318,71,2
319,71,2
320,72,1
321,72,1
322,72,1
323,72,1
324,72,2
325,72,2
326,73,1
327,73,1
328,73,1
329,73,1
330,73,2
331,73,2
332,73,2
333,73,2
334,74,1
335,74,1
336,74,1
337,74,2
338,74,2
339,75,2
340,75,2
341,75,2
342,76,1
